english,spanish
what is your favorite food,cuál es tu comida favorita
my favorite food is pizza,mi comida favorita es la pizza
do you like music,te gusta la música
i like pop music,me gusta la música pop
i play the guitar,toco la guitarra
can you play an instrument,puedes tocar un instrumento
where do you work,dónde trabajas
i work at a hospital,trabajo en un hospital
are you a student,eres estudiante
i study engineering,estudio ingeniería
do you like sports,te gustan los deportes
i like to play soccer,me gusta jugar fútbol
what do you do in your free time,qué haces en tu tiempo libre
i like to read books,me gusta leer libros
what kind of books do you read,qué tipo de libros lees
i read science fiction,leo ciencia ficción
do you have any pets,tienes mascotas
i have a dog,tengo un perro
what is your dog’s name,cómo se llama tu perro
his name is max,se llama max
how is the weather,cómo está el clima
it is sunny today,hoy está soleado
it is raining,está lloviendo
it is very cold,hace mucho frío
do you like the beach,te gusta la playa
i like to swim,me gusta nadar
i want to travel,quiero viajar
where do you want to go,a dónde quieres ir
i want to go to mexico,quiero ir a méxico
how long will you stay,cuánto tiempo te quedarás
i will stay for one week,me quedaré una semana
what is your favorite movie,cuál es tu película favorita
i like action movies,me gustan las películas de acción
do you like coffee,te gusta el café
i drink coffee every day,bebo café todos los días
what is your favorite color,cuál es tu color favorito
my favorite color is blue,mi color favorito es el azul
can we take a picture,podemos tomar una foto
where is your phone,dónde está tu teléfono
i forgot my keys,olvidé mis llaves
i locked myself out,me quedé fuera
is this your bag,es tu bolsa
what time do you wake up,a qué hora te despiertas
i wake up at 7am,me despierto a las 7am
do you cook,cocinas
i like to cook pasta,me gusta cocinar pasta
do you want dessert,quieres postre
i am full,estoy lleno
i need to sleep,necesito dormir
do you want to watch a movie,quieres ver una película
let's watch a movie tonight,veamos una película esta noche
can you drive,puedes conducir
i am learning to drive,estoy aprendiendo a conducir
what do you want to eat,qué quieres comer
i want to eat tacos,quiero comer tacos
do you like ice cream,te gusta el helado
my favorite ice cream is chocolate,mi helado favorito es de chocolate
are you busy,estás ocupado
i am free this weekend,estoy libre este fin de semana
let’s go shopping,vamos de compras
i need new shoes,necesito zapatos nuevos
where is the mall,dónde está el centro comercial
can i try this on,puedo probar esto
do you have this in medium,tienes esto en talla mediana
how does it look,cómo se ve
you look great,te ves genial
i don’t like it,no me gusta
do you accept returns,aceptan devoluciones
i want a refund,quiero un reembolso
what is your favorite animal,cuál es tu animal favorito
i like cats,me gustan los gatos
are you allergic to anything,eres alérgico a algo
i am allergic to peanuts,soy alérgico a los cacahuetes
can i sit here,puedo sentarme aquí
do you want something to drink,quieres algo de beber
i will have a soda,tomaré un refresco
can we have the menu,podemos ver el menú
i am a vegetarian,soy vegetariano
this is too spicy,esto está muy picante
do you have any questions,tienes alguna pregunta
what do you mean,qué quieres decir
can you explain it again,puedes explicarlo de nuevo
i got a new job,conseguí un nuevo trabajo
i am moving next month,me mudaré el próximo mes
do you have siblings,tienes hermanos
i have two sisters,tengo dos hermanas
what do your parents do,a qué se dedican tus padres
my mom is a teacher,mi mamá es maestra
my dad is an engineer,mi papá es ingeniero
do you like to sing,te gusta cantar
i sing in a choir,canto en un coro
what did you do today,qué hiciste hoy
i went to the park,fui al parque
do you like art,te gusta el arte
i visited a museum,visité un museo
how do you feel,cómo te sientes
i feel better,me siento mejor
what are your hobbies,cuáles son tus pasatiempos
i enjoy painting,disfruto pintar
i practice yoga,practico yoga
